node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AATF	MPHOSPH10	9606.ENSP00000477848	9606.ENSP00000244230	0	0	0	0	0.852	0.964	0	0.403	0.996
AATF	DDX10	9606.ENSP00000477848	9606.ENSP00000314348	0	0	0	0	0.882	0.338	0	0.651	0.970
AATF	NOL10	9606.ENSP00000477848	9606.ENSP00000371101	0	0	0	0	0.882	0.983	0	0.811	0.999
AATF	NGDN	9606.ENSP00000477848	9606.ENSP00000386134	0	0	0	0	0.887	0.965	0	0.861	0.999
CCDC86	EXOSC3	9606.ENSP00000227520	9606.ENSP00000323046	0	0	0	0	0.468	0	0	0	0.468
DDX10	EXOSC5	9606.ENSP00000314348	9606.ENSP00000221233	0	0	0	0	0.636	0.057	0	0.093	0.661
DDX10	MPHOSPH10	9606.ENSP00000314348	9606.ENSP00000244230	0	0	0	0	0.866	0.165	0	0.516	0.941
DDX10	EXOSC2	9606.ENSP00000314348	9606.ENSP00000361433	0	0	0	0	0.255	0.056	0	0.302	0.466
DDX10	NGDN	9606.ENSP00000314348	9606.ENSP00000386134	0	0	0	0	0.861	0.178	0	0.548	0.943
DDX10	NOL10	9606.ENSP00000314348	9606.ENSP00000371101	0	0	0	0	0.880	0.139	0	0.519	0.946
DDX10	AATF	9606.ENSP00000314348	9606.ENSP00000477848	0	0	0	0	0.882	0.338	0	0.651	0.970
EXOSC2	EXOSC5	9606.ENSP00000361433	9606.ENSP00000221233	0.135	0	0	0	0.876	0.998	0.900	0.898	0.999
EXOSC2	MPHOSPH10	9606.ENSP00000361433	9606.ENSP00000244230	0	0	0	0	0.316	0.593	0	0	0.709
EXOSC2	DDX10	9606.ENSP00000361433	9606.ENSP00000314348	0	0	0	0	0.255	0.056	0	0.302	0.466
EXOSC2	EXOSC3	9606.ENSP00000361433	9606.ENSP00000323046	0	0	0	0	0.904	0.998	0.900	0.982	0.999
EXOSC2	NGDN	9606.ENSP00000361433	9606.ENSP00000386134	0	0	0	0	0.435	0	0	0.060	0.446
EXOSC2	EXOSC8	9606.ENSP00000361433	9606.ENSP00000374354	0.135	0	0	0	0.530	0.998	0.900	0.897	0.999
EXOSC3	EXOSC5	9606.ENSP00000323046	9606.ENSP00000221233	0.135	0	0	0	0.717	0.995	0.900	0.978	0.999
EXOSC3	CCDC86	9606.ENSP00000323046	9606.ENSP00000227520	0	0	0	0	0.468	0	0	0	0.468
EXOSC3	MPHOSPH10	9606.ENSP00000323046	9606.ENSP00000244230	0	0	0	0	0.218	0.559	0	0	0.640
EXOSC3	NGDN	9606.ENSP00000323046	9606.ENSP00000386134	0	0	0	0	0.354	0	0	0.130	0.415
EXOSC3	EXOSC8	9606.ENSP00000323046	9606.ENSP00000374354	0.135	0	0	0	0.280	0.994	0.900	0.971	0.999
EXOSC3	EXOSC2	9606.ENSP00000323046	9606.ENSP00000361433	0	0	0	0	0.904	0.998	0.900	0.982	0.999
EXOSC5	DDX10	9606.ENSP00000221233	9606.ENSP00000314348	0	0	0	0	0.636	0.057	0	0.093	0.661
EXOSC5	MPHOSPH10	9606.ENSP00000221233	9606.ENSP00000244230	0	0	0	0	0.195	0.559	0.900	0	0.961
EXOSC5	EXOSC2	9606.ENSP00000221233	9606.ENSP00000361433	0.135	0	0	0	0.876	0.998	0.900	0.898	0.999
EXOSC5	EXOSC8	9606.ENSP00000221233	9606.ENSP00000374354	0.111	0	0.206	0	0.303	0.998	0.900	0.993	0.999
EXOSC5	EXOSC3	9606.ENSP00000221233	9606.ENSP00000323046	0.135	0	0	0	0.717	0.995	0.900	0.978	0.999
EXOSC8	EXOSC5	9606.ENSP00000374354	9606.ENSP00000221233	0.111	0	0.206	0	0.303	0.998	0.900	0.993	0.999
EXOSC8	MPHOSPH10	9606.ENSP00000374354	9606.ENSP00000244230	0	0	0	0	0.218	0.551	0	0	0.634
EXOSC8	EXOSC3	9606.ENSP00000374354	9606.ENSP00000323046	0.135	0	0	0	0.280	0.994	0.900	0.971	0.999
EXOSC8	EXOSC2	9606.ENSP00000374354	9606.ENSP00000361433	0.135	0	0	0	0.530	0.998	0.900	0.897	0.999
LARP7	MRPS25	9606.ENSP00000422626	9606.ENSP00000253686	0	0	0	0	0.049	0.486	0	0	0.490
LARP7	MEPCE	9606.ENSP00000422626	9606.ENSP00000308546	0	0	0	0	0.144	0.878	0	0.988	0.998
LARP7	MRPS27	9606.ENSP00000422626	9606.ENSP00000426941	0	0	0	0	0.047	0.486	0	0	0.489
MEPCE	SRP72	9606.ENSP00000308546	9606.ENSP00000342181	0	0	0	0	0.047	0.430	0	0	0.433
MEPCE	LARP7	9606.ENSP00000308546	9606.ENSP00000422626	0	0	0	0	0.144	0.878	0	0.988	0.998
MPHOSPH10	EXOSC5	9606.ENSP00000244230	9606.ENSP00000221233	0	0	0	0	0.195	0.559	0.900	0	0.961
MPHOSPH10	EXOSC8	9606.ENSP00000244230	9606.ENSP00000374354	0	0	0	0	0.218	0.551	0	0	0.634
MPHOSPH10	EXOSC3	9606.ENSP00000244230	9606.ENSP00000323046	0	0	0	0	0.218	0.559	0	0	0.640
MPHOSPH10	EXOSC2	9606.ENSP00000244230	9606.ENSP00000361433	0	0	0	0	0.316	0.593	0	0	0.709
MPHOSPH10	DDX10	9606.ENSP00000244230	9606.ENSP00000314348	0	0	0	0	0.866	0.165	0	0.516	0.941
MPHOSPH10	NGDN	9606.ENSP00000244230	9606.ENSP00000386134	0	0	0	0	0.853	0.815	0.540	0.102	0.987
MPHOSPH10	AATF	9606.ENSP00000244230	9606.ENSP00000477848	0	0	0	0	0.852	0.964	0	0.403	0.996
MPHOSPH10	NOL10	9606.ENSP00000244230	9606.ENSP00000371101	0	0	0	0	0.875	0.976	0.540	0	0.998
MRPS2	MRPS25	9606.ENSP00000360850	9606.ENSP00000253686	0	0	0	0	0.333	0.821	0.800	0	0.974
MRPS2	MRPS5	9606.ENSP00000360850	9606.ENSP00000272418	0.078	0	0	0	0.463	0.996	0.900	0.426	0.999
MRPS2	NARS2	9606.ENSP00000360850	9606.ENSP00000281038	0.059	0	0	0	0.117	0	0	0.366	0.427
MRPS2	MRPS27	9606.ENSP00000360850	9606.ENSP00000426941	0	0	0	0	0.161	0.937	0.900	0.285	0.995
MRPS25	LARP7	9606.ENSP00000253686	9606.ENSP00000422626	0	0	0	0	0.049	0.486	0	0	0.490
MRPS25	MRPS2	9606.ENSP00000253686	9606.ENSP00000360850	0	0	0	0	0.333	0.821	0.800	0	0.974
MRPS25	MRPS5	9606.ENSP00000253686	9606.ENSP00000272418	0	0	0	0	0.140	0.940	0.800	0	0.988
MRPS25	MRPS27	9606.ENSP00000253686	9606.ENSP00000426941	0	0	0	0	0.090	0.927	0.800	0.328	0.990
